time,open,high,low,close
2012-09-29,12.2,12.28,12.17,12.22
2012-09-30,12.21,12.27,11.6,12.14
2012-10-01,12.2,12.7,12.14,12.64
2012-10-02,12.63,12.99,12.45,12.9
2012-10-03,12.9,12.9,12.51,12.57
2012-10-04,12.61,12.7,11.5,12.5
2012-10-05,12.51,12.6,12.06,12.39
2012-10-06,12.39,12.45,11.52,11.71
2012-10-07,11.7,11.99,10.42,11.62
2012-10-08,11.62,12.26,11.52,11.99
2012-10-09,11.85,12.25,11.79,12.24
2012-10-10,12.1,12.13,11.58,12.09
2012-10-11,11.95,12.1,11.81,11.9
2012-10-12,11.9,12,11.81,11.85
2012-10-13,11.85,11.9,11.79,11.79
2012-10-14,11.78,11.84,11.03,11.66
2012-10-15,11.8,11.94,11.17,11.92
2012-10-16,11.79,11.97,11.15,11.88
2012-10-17,11.9,11.9,11.55,11.8
2012-10-18,11.75,11.84,11.5,11.67
2012-10-19,11.65,11.7,11.53,11.6
2012-10-20,11.6,11.68,11.29,11.32
2012-10-21,11.54,11.57,11.27,11.49
2012-10-22,11.5,11.7,11.25,11.58
2012-10-23,11.38,11.62,11.01,11.4
2012-10-24,11.39,11.39,10.4,10.55
2012-10-25,10.46,10.84,9.68,10
2012-10-26,10,10.75,9.5,10.43
2012-10-27,10.35,10.75,10.3,10.54
2012-10-28,10.67,10.8,10.32,10.8
2012-10-29,10.8,10.81,10.43,10.8
2012-10-30,10.79,11,10.66,11
2012-10-31,11,11.05,10.63,10.85
2012-11-01,10.85,10.96,10.45,10.67
2012-11-02,10.54,10.69,10.41,10.66
2012-11-03,10.67,10.68,10.4,10.64
2012-11-04,10.63,10.8,10.5,10.78
2012-11-05,10.78,10.8,10.51,10.74
2012-11-06,10.68,10.84,10.45,10.8
2012-11-07,10.65,10.83,10.25,10.81
2012-11-08,10.69,10.84,10.61,10.8
2012-11-09,10.8,10.87,10.63,10.81
2012-11-10,10.82,10.85,10.64,10.82
2012-11-11,10.78,10.92,10.72,10.87
2012-11-12,10.92,10.99,10.76,10.87
2012-11-13,10.87,10.98,10.74,10.97
2012-11-14,10.98,11.05,10.81,11.05
2012-11-15,11.05,11.6,10.96,11.46
2012-11-16,11.48,11.65,11.45,11.57
2012-11-17,11.56,11.65,11.32,11.51
2012-11-18,11.51,11.65,11.03,11.65
2012-11-19,11.6,11.69,11.44,11.65
2012-11-20,11.64,11.67,11.34,11.67
2012-11-21,11.67,12.12,11.55,11.88
2012-11-22,11.86,12.16,11.66,12.16
2012-11-23,12.16,12.29,12.06,12.25
2012-11-24,12.29,12.35,12.2,12.31
2012-11-25,12.32,12.4,12.11,12.2
2012-11-26,12.2,12.23,11.75,12.07
2012-11-27,12.01,12.74,11.93,12.22
2012-11-28,12.22,12.41,12.1,12.37
2012-11-29,12.35,12.45,12.2,12.43
2012-11-30,12.39,12.46,12.31,12.34
2012-12-01,12.44,12.46,12.24,12.42
2012-12-02,12.46,12.6,12.32,12.6
2012-12-03,12.5,13.01,12.42,12.59
2012-12-04,12.86,13.43,12.63,13.2
2012-12-05,13.2,13.59,13.02,13.45
2012-12-06,13.34,13.48,13.11,13.37
2012-12-07,13.3,13.37,13.3,13.36
2012-12-08,13.35,13.36,13.1,13.29
2012-12-09,13.3,13.4,13.03,13.3
2012-12-10,13.13,13.41,13.13,13.35
2012-12-11,13.39,13.49,13.23,13.49
2012-12-12,13.49,13.52,13.05,13.52
2012-12-13,13.51,13.94,13.38,13.51
2012-12-14,13.51,13.57,13.28,13.38
2012-12-15,13.38,13.44,13.27,13.27
2012-12-16,13.28,13.29,12.85,13.2
2012-12-17,13.3,13.62,12.75,13.13
2012-12-18,13.13,13.4,13,13.4
2012-12-19,13.27,13.44,13.14,13.35
2012-12-20,13.38,13.41,13.2,13.2
2012-12-21,13.28,13.37,13.11,13.2
2012-12-22,13.2,13.29,13.04,13.14
2012-12-23,13.11,13.24,13.01,13.23
2012-12-24,13.23,13.25,13.09,13.24
2012-12-25,13.09,13.19,13.01,13.18
2012-12-26,13.18,13.25,12.91,13.2
2012-12-27,13.19,13.29,13.01,13.18
2012-12-28,13.18,13.28,13.11,13.22
2012-12-29,13.13,13.29,13.1,13.2
2012-12-30,13.2,13.29,13.05,13.24
2012-12-31,13.24,13.24,12.77,13.22
2013-01-01,13.12,13.19,12.98,13.09
2013-01-02,13.09,13.26,12.96,13.19
2013-01-03,13.12,13.24,12.84,13.19
2013-01-04,13.19,13.19,13.03,13.15
2013-01-05,13.11,13.15,13.06,13.15
2013-01-06,13.1,13.2,13.04,13.2
2013-01-07,13.2,13.5,13.05,13.5
2013-01-08,13.51,13.65,13.18,13.58
2013-01-09,13.67,14.19,13.5,14
2013-01-10,14,14.1,13.85,14
2013-01-11,14.02,14.07,13.84,13.89
2013-01-12,13.94,14.03,13.54,13.64
2013-01-13,13.65,14.1,13.5,14.1
2013-01-14,14.1,14.32,13.88,14.2
2013-01-15,14.15,14.65,14.01,14.53
2013-01-16,14.53,15.47,14.45,15.36
2013-01-17,15.34,15.7,15.17,15.57
2013-01-18,15.52,15.65,15.32,15.38
2013-01-19,15.48,15.69,15.38,15.5
2013-01-20,15.62,16.98,15.45,16.52
2013-01-21,16.53,17.6,16.45,17.35
2013-01-22,17.5,17.6,16.86,17.5
2013-01-23,17.5,19.2,16,17.29
2013-01-24,17.15,17.72,16.12,17.49
2013-01-25,17.3,17.49,16.67,17.49
2013-01-26,17.49,17.6,17.08,17.6
2013-01-27,17.6,18.74,17.48,18.67
2013-01-28,18.6,19.85,18.53,19.35
2013-01-29,19.46,19.47,18.85,19.45
2013-01-30,19.45,21,19.27,20.46
2013-01-31,20.3,20.9,20.04,20.35
2013-02-01,20.35,20.53,19.5,19.82
2013-02-02,19.76,20.59,19.57,20.29
2013-02-03,20.55,20.7,19.9,20.3
2013-02-04,20.3,20.69,20.08,20.5
2013-02-05,20.56,20.99,20.33,20.91
2013-02-06,20.91,21.96,20.9,21.71
2013-02-07,21.95,22.63,21.81,22.4
